AnoCalendario;DataArquivamento;DataAbertura;CodigoRegiao;Regiao;UF;strRazaoSocial;strNomeFantasia;Tipo;NumeroCNPJ;RadicalCNPJ;RazaoSocialRFB;NomeFantasiaRFB;CNAEPrincipal;DescCNAEPrincipal;Atendida;CodigoAssunto;DescricaoAssunto;CodigoProblema;DescricaoProblema;SexoConsumidor;FaixaEtariaConsumidor;CEPConsumidor
2020;2020-12-09 13:48:10.000;2019-12-26 12:28:07.000;03;Sudeste;MG;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULT;NULL;1;26405883000103;26405883;NULL;NULL;NULL;NULL;S;53;Banco comercial;6834;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança);M;entre 41 a 50 anos;31742544
2020;2020-08-27 12:35:41.000;2020-03-20 12:16:52.000;02;Nordeste;RN;VIRGINIA SURETY COMPANHIA DE SEGUROS DO BRASIL;NULL;1;3505295000146;03505295;VIRGINIA SURETY COMPANHIA DE SEGUROS DO BRASIL;;6512000;SEGUROS NÃO-VIDA;N;147;Seguro;2548;Produto com vício;F;entre 51 a 60 anos;59050200
2020;2020-05-20 08:54:17.000;2020-03-18 13:37:12.000;02;Nordeste;RN;LATAM AIRLINES GROUP S.A.;TAM LINHAS AÉREAS;1;33937681000178;33937681;LAN AIRLINES S/A;LAN AIRLINES;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;N;157;Transporte ( Rodoviário, Passageiros, Cargas, Aéreo, Marítimo, etc. );3727;Garantia - Descumprimento, prazo;M;entre 51 a 60 anos;59076030
2020;2020-07-30 10:25:00.000;2020-02-06 10:24:25.000;02;Nordeste;RN;LOJAS AMERICANAS S.A.- MIDWAL MALL;LOJAS AMERIACANAS S.A;1;33014556023722;33014556;LOJAS AMERICANAS S.A.;LOJA 226;4711302;COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS;S;102;Microcomputador / Produtos de Informática;2503;Produto com vício;F;entre 41 a 50 anos;59075200
2020;2020-02-17 12:36:30.000;2020-01-21 09:36:24.000;02;Nordeste;RN;ACBZ IMPORTACAO E COMERCIO LTDA.;ASUS NO BRASIL;1;9509531000189;09509531;ACBZ IMPORTACAO E COMERCIO LTDA.;;4651601;COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;S;101;Telefone ( Convencional, Celular, Interfone, Etc. );2502;Produto com vício;M;entre 21 a 30 anos;59147150
2020;2020-12-02 11:01:18.000;2020-01-21 09:51:19.000;02;Nordeste;CE;RIACHUELO;RIACHUELO MARACANAÚ;1;33200056000149;33200056;LOJAS RIACHUELO SA;LOJAS RIACHUELO;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;S;54;Cartão de Crédito;1117;Cobrança indevida.;M;entre 21 a 30 anos;60752440
2020;2020-12-03 10:28:50.000;2019-11-06 09:27:45.000;02;Nordeste;CE;CAGECE;NULL;1;7040108000157;07040108;COMPANHIA DE AGUA E ESGOTO DO CEARA CAGECE;CAGECE;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;S;183;Água / Esgoto;3742;Cobrança indevida/abusiva;F;entre 51 a 60 anos;NULL
2020;2020-12-02 10:59:25.000;2019-09-11 11:06:26.000;02;Nordeste;CE;CAGECE;NULL;1;7040108000157;07040108;COMPANHIA DE AGUA E ESGOTO DO CEARA CAGECE;CAGECE;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;S;183;Água / Esgoto;3742;Cobrança indevida/abusiva;F;entre 21 a 30 anos;61640070
2020;2020-12-24 13:19:20.000;2019-01-08 14:37:17.000;03;Sudeste;MG;ALGAR TELECOM S/A;ALGAR TELECOM;1;71208516000174;71208516;COMPANHIA DE TELECOMUNICACOES DO BRASIL CENTRAL;CTBC TELECOM;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;N;186;Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação );3844;Contrato - Rescisão/alteração unilateral;F;entre 61 a 70 anos;35501233
2020;2020-12-09 13:48:51.000;2020-03-16 16:45:31.000;03;Sudeste;MG;MM TURISMO & VIAGENS S.A.;MAX MILHAS;1;16988607000161;16988607;MAX MILHAS LTDA - ME;MAX MILHAS;7490104;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS EM GERAL, EXCETO IMOBILIÁRIOS;S;276;Agências e Operadoras de viagens (pacotes turísticos);5399;Cobrança indevida/abusiva;F;entre 21 a 30 anos;30310300
2020;2020-08-31 11:06:10.000;2020-05-19 12:18:23.000;02;Nordeste;RN;BENTO CANDIDO DA SILVA;CENTER IMPORT'S;1;17221132000146;17221132;BENTO CANDIDO DA SILVA 02707721468;NORTE VARIDADES;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;N;54;Cartão de Crédito;6943;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes);M;entre 31 a 40 anos;59084250
2020;2020-12-09 13:48:32.000;2020-01-29 09:03:16.000;03;Sudeste;MG;BANCO AGIBANK S.A (MATRIZ);(ANTERIORES) BANCO AGIPLAN E AGIPLAN FINANCEIRA;1;10664513000150;10664513;BANCO GERADOR S.A;BANCO GERADOR;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;S;63;Financeira;1178;Calculo de prestação/taxa de juros;M;entre 51 a 60 anos;31844090
2020;2020-08-31 10:32:51.000;2020-05-25 14:12:03.000;02;Nordeste;RN;BANCO DO BRASIL S/A (RIO BRANCO);BANCO DO BRASIL S/A (RIO BRANCO);1;441058;00000000;BANCO DO BRASIL SA;BANCO DO BRASIL S. A. - AVENIDA RIO BRANCO-NATAL(RN);6421200;BANCOS COMERCIAIS;N;53;Banco comercial;6109;Transação Eletrônica Não Reconhecida;F;entre 31 a 40 anos;59010690
2020;2020-12-03 12:17:45.000;2020-08-12 09:32:31.000;02;Nordeste;CE;SER EDUCACIONAL S.A.;FACULDADE MAURICIO DE NASSAU DE FORTALEZA;1;4986320001519;04986320;SER EDUCACIONAL S.A.;FACULDADE MAURICIO DE NASSAU;8532500;EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS-GRADUAÇÃO;S;233;Escola ( Pré, 1º, 2º Graus e Superior );5366;Cobrança indevida/abusiva;F;entre 41 a 50 anos;61910030
2020;2020-03-05 16:50:35.000;2020-01-24 15:18:49.000;03;Sudeste;MG;NS2.COM INTERNET S.A.;NETSHOES / ZATTINI;1;9339936000116;09339936;NS2.COM INTERNET S.A.;;4782201;COMÉRCIO VAREJISTA DE CALÇADOS;N;108;Artigo Esportivo / Lazer ( Bola, Raquete, Rede, Cotoveleira, Arma, Baralho, Roleta, Etc. );3201;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.);M;entre 41 a 50 anos;35400000
