;strRazaoSocial;strNomeFantasia;NumeroCNPJ;RadicalCNPJ;CNAEPrincipal;DescCNAEPrincipal;RazaoSocialRFB;NomeFantasiaRFB;CodigoFornecedor
0;MULTIMARCAS ADMINISTRADORA DE CONSÓRCIOS LTDA;MULTIMARCAS CONSÓRCIOS;04124922000161;04124922;6493000;ADMINISTRAÇÃO DE CONSÓRCIOS PARA AQUISIÇÃO DE BENS E DIREITOS;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA;MULTIMARCAS CONSORCIOS;1
1;A SARAIVA SOUZA - ME;MERITO CURSOS;21364925000191;21364925;;;;;2
2;AZUL LINHAS AÉREAS BRASILEIRAS S.A;AZUL LINHAS AÉREAS;09296295000160;09296295;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;AZUL LINHAS AEREAS BRASILEIRAS S.A.;;3
4;MOTOROLA INDUSTRIAL LTDA;MOTOROLA;01472720000112;01472720;4652400;COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA;;4
5;MM TURISMO E VIAGENS S.A;MAXMILHAS;16988607000161;16988607;7490104;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS EM GERAL, EXCETO IMOBILIÁRIOS;MAX MILHAS LTDA - ME;MAX MILHAS;5
6;SERASA S.A;SERASA;62173620000180;62173620;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA;SERASA S.A.;;6
7;C G NEVES STUDIO FOTOGRAFICO LTDA;MAIS FORMATURAS - BELÉM;13051052000139;13051052;4789008;COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM;C G NEVES STUDIO FOTOGRAFICO LTDA ME;STUDIO ARTE;7
8;VIA MARCONI VEÍCULOS LTDA;VIA MARCONI;00512663000276;00512663;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;VIA MARCONI VEICULOS LTDA;;8
9;BANCO C6 CONSIGNADO S.A;FICSA - C6 CONSIG;61348538000186;61348538;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO FICSA S/A.;FICSA;9
11;TELEMAR NORTE LESTE S/A;OI FIXO;33000118000926;33000118;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;TELEMAR NORTE LESTE S/A;OI;10
12;CEMIG DISTRIBUICAO S.A;CEMIG DISTRIBUICAO S.A;06981180000116;06981180;3514000;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;CEMIG DISTRIBUICAO S.A;CEMIG D;11
13;DECOLAR COM LTDA.;DECOLAR COM LTDA.;03563689000231;03563689;7911200;AGÊNCIAS DE VIAGENS;DECOLAR. COM LTDA.;;12
15;BRITANIA ELETRODOMESTICOS LTDA.;BRITÂNIA/PHILCO;76492701000157;76492701;8211300;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;BRITANIA ELETRODOMESTICOS SA;;13
16;CELL & MIX BAHIA COM. DE ACESSORIOS PARA CELULARES;CELL & MIX;23029357000289;23029357;;;;;14
18;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTD;CESDE LTDA (MALLORY);00153282000167;00153282;2759799;FABRICAÇÃO DE OUTROS APARELHOS ELETRODOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;CESDE LTDA;15
19;UNITOUR HOTEIS E TURISMO LTDA;UNITOUR HOTEIS E TURISMO;34479631000157;34479631;;;;;16
20;NOVO MUNDO CAMINHOES E EQUIPAMENTO RODOVIARIOS LTD;NOVO MUNDO CAMINHOES E EQUIPAMENTO RODOVIARIOS LTD;11840303000139;11840303;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;NOVO MUNDO CAMINHOES E EQUIPAMENTOS RODOVIARIOS LTDA;;17
22;WHITE MARTINS GASES IND DO NE S/A;WHITE MARTINS GASES IND DO NE S/A;24380578000189;24380578;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA.;;18
23;LATAM AIRLINES GROUP S/A;LATAM;33937681000178;33937681;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;LAN AIRLINES S/A;LAN AIRLINES;19
24;GLOBALK TECNOLOGIA INFORMATICA LTDA.;GLOBALK TECNOLOGIA INFORMATICA LTDA.;18228061000176;18228061;7740300;GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;GLOBALK TECNOLOGIA INFORMATICA LTDA.;;20
25;BV FINANCEIRA SA CREDITO FINANCIAMENTO E INVESTIMENTO;BV FINANCEIRA S.A;01149953000189;01149953;6436100;SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS;BV FINANCEIRA SA CREDITO FINANCIAMENTO E INVESTIMENTO;;21
28;ELECTROLUX DO BRASIL S.A.;ELECTROLUX;76487032000125;76487032;2751100;FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS;ELECTROLUX DO BRASIL S/A;;22
29;CASTING PROMOÇÕES E EVERNTOS LTDA;CASTING PROMOÇÕES E EVERNTOS LTDA;18278652000158;18278652;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;CASTING SANTOS PROMOCOES E EVENTOS EIRELI - ME;;23
30;LASERCORP SERVIÇOS ESTETICOS LTDA;ESPACO LASER;14467792000113;14467792;8650004;ATIVIDADES DE FISIOTERAPIA;LASERCORP SERVICOS ESTETICOS LTDA;ESPACOLASER;24
32;PROLAGOS S/A;PROLAGOS;02382073000110;02382073;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;PROLAGOS S/A - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO;;25
34;NOSSA ELETRO S.A;RICARDO ELETRO;13481309040577;13481309;;;;;26
35;LBROS COMERCIO DE MOVEIS LTDA;NOVOLARE;10859506000538;10859506;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;LBROS COMERCIO DE MOVEIS LTDA;;27
36;TELEFONICA BRASIL S/A;VIVO;02558157000162;02558157;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;TELEFONICA BRASIL S.A.;;28
41;CREFAZ SOC.DE CRÉDITO AO MICROEMPREENDEDOR E A EMP;CREFAZ FINANCIAMENTOS E INVESTIMENTOS;18188384000183;18188384;8291100;ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS;CREFAZ FINANCIAMENTOS E INVESTIMENTOS LTDA - ME;CREFAZ FINANCIAMENTOS E INVESTIMENTOS;29
42;ARTHUR LUNDGREN TECIDOS S.A;PERNAMBUCANAS;61099834030774;61099834;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;CASAS PERNAMBUCANAS;30
46;BANCO CETELEM S/A;BANCO CETELEM/BANCO BGN;00558456000171;00558456;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BGN S/A;;31
47;BANCO ITAU CONSIGNADO S/A;BANCO ITAU CONSIGNADO S/A;33885724000119;33885724;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO ITAU BMG CONSIGNADO S.A.;;32
49;DELTA AIR LINES INC;DELTA AIR LINES INC;00146461000177;00146461;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;DELTA AIR LINES INC;;33
50;UNICONSULT EM LTDA;UNICONSULT;21586727000172;21586727;;;;;34
51;CAIXA ECONÔMICA FEDERAL - CEF;CEF MATRIZ;00360305000104;00360305;6423900;CAIXAS ECONÔMICAS;CAIXA ECONOMICA FEDERAL;CEF MATRIZ;35
52;EVOLUTIME COMERCIO DE LIVROS E CURSOS LTDA;EVOLUTIME INGLES E INFORMATICA;20112517000180;20112517;;;;;36
53;CHUBB SEGUROS BRASIL LTDA;ACE SEGURADORA/CHUBB;03502099000118;03502099;6512000;SEGUROS NÃO-VIDA;ACE SEGURADORA S.A.;;37
55;ANHANGUERA EDUCACIONAL LTDA;FACULDADES ANHANGUERA;05808792000149;05808792;8532500;EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS-GRADUAÇÃO;ANHANGUERA EDUCACIONAL LTDA;;38
56;INOVAR MAGAZINE EIRELI;RAVONNI MÓVEIS E COLCHÕES;17292698000673;17292698;;;;;39
57;SAMSUNG ELETRÔNICA DA AMAZONIA LTDA;SAMSUNG;00280273000722;00280273;4649402;COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO;SAMSUNG ELETRONICA DA AMAZONIA LTDA;;40
58;MORAR CONSTRUTORA E  INCORPORADORA LTDA;MORAR CONSTRUTORA E  INCORPORADORA LTDA;27318674000195;27318674;4110700;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;MORAR CONSTRUTORA E INCORPORADORA LTDA;;41
61;INTERAGE LINHARES LTDA - ME;INTERAGE LINHARES;12827096000145;12827096;8599603;TREINAMENTO EM INFORMÁTICA;INTERAGE LINHARES LTDA ME;;42
62;ACADEMIA FITNESSCLUB;ACADEMIA FITNESSCLUB;27534820000110;27534820;;;;;43
63;LOJAS RIACHUELO S/A;LOJAS RIACHUELO;33200056000149;33200056;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;LOJAS RIACHUELO SA;LOJAS RIACHUELO;44
64;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS LTDA;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS LTDA;06347409006953;06347409;4763602;COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS;SBF COMERCIO DE PRODUTOS ESPORTIVOS LTDA;;45
65;BANCO DO ESTADO DO RIO GRANDE DO SUL S/A;BANRISUL;92702067000196;92702067;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BANRISUL;46
66;FÁTIMA LUCIENE DE OLIVEIRA FREITAS;FÁTIMA LUCIENE DE OLIVEIRA FREITAS;00004119842681;;;;;;47
67;APPLE COMPUTER BRASIL LTDA;APPLE;00623904000173;00623904;4651601;COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;APPLE COMPUTER BRASIL LTDA;;48
69;MARTINAUTO COMÉRCIO DE VEÍCULOS EIRELI;MARTINI AUTOMÓVEIS;00027164000102;00027164;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;MARTINAUTO COMERCIO DE VEICULOS LTDA - ME;MARTINI VEICULOS;49
70;NISSAN DO BRASIL AUTOMÓVEIS LTDA;NISSAN DO BRASIL;04104117000176;04104117;2910701;FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS;NISSAN DO BRASIL AUTOMOVEIS LTDA;;50
71;ARTHUR LUNDGREN TECIDOS S. A.;CASAS PERNAMBUCANAS;61099834040737;61099834;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;CASAS PERNAMBUCANAS;51
72;REALIZA EMPREENDIMENTOS IMOBILIARIOS LTDA;REALIZA EMPREENDIMENTOS IMOBILIARIOS LTDA;00000000000nan;;;;;;52
73;KROTON EDUCACIONAL S.A;KROTON EDUCACIONAL S.A;02800026000140;02800026;6462000;HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS;KROTON EDUCACIONAL S/A;;53
74;BANCO BONSUCESSO CONSIGNADO S.A.;BANCO BONSUCESSO CONSIGNADO S.A.;71371686000175;71371686;6612602;DISTRIBUIDORAS DE TÍTULOS E VALORES MOBILIÁRIOS;BANCO OLE BONSUCESSO CONSIGNADO S.A.;OLE CONSIGNADO;54
