;CodigoProblema;DescricaoProblema
0;1307;Desistência de consorcio
1;5369;Cobrança indevida/abusiva
2;5157;Recusa injustificada em prestar serviço
3;5760;Contrato - Rescisão/alteração unilateral
4;;
5;3671;Recusa injustificada em prestar serviço
6;1110;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
7;5216;Reajuste abusivo (preço, taxa, mensalidade, etc.)
8;2656;Não entrega/demora na entrega do produto
9;1566;Publicidade enganosa
10;1126;Cobrança indevida.
11;3845;Contrato - Rescisão/alteração unilateral
12;3744;Cobrança indevida/abusiva
13;7104;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
15;2497;Produto com vício
16;2502;Produto com vício
17;4993;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
18;2550;Produto com vício
19;7121;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
20;2490;Produto com vício
22;1137;Cobrança indevida.
23;5801;Contrato - Clausula abusiva/em desacordo com a Legislação.
24;2503;Produto com vício
25;6835;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
26;6834;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
27;1139;Cobrança indevida.
28;2495;Produto com vício
29;5513;Venda/Oferta/publicidade enganosa.
30;6630;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
32;3742;Cobrança indevida/abusiva
35;7230;Defeito/Risco à saúde e segurança
36;3746;Cobrança indevida/abusiva
37;5014;Serviço não concluído /Fornecimento parcial
39;5482;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
41;1099;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
42;1619;Venda casada
43;1117;Cobrança indevida.
44;1118;Cobrança indevida.
45;2925;Venda enganosa
46;1062;Envio de produto ou serviço sem previa solicitação
47;1085;Envio de produto ou serviço sem previa solicitação
48;6915;Crédito Consignado
50;5924;Reajuste anual
51;1701;Consumidor negativado indevidamente nos serviços de proteção ao credito
52;5730;Contrato - Rescisão/alteração unilateral
53;1112;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
54;6109;Transação Eletrônica Não Reconhecida
55;5448;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
56;2524;Produto com vício
61;5004;Serviço não concluído /Fornecimento parcial
63;7266;Defeito/Risco à saúde e segurança
64;2675;Não entrega/demora na entrega do produto
66;3162;Desistência de compra (cancelamento de compra)
67;3068;Produto entregue incompleto
68;3410;Compra de veiculo (multa, transferência, alienação, não entrega de documentação)
70;2345;Garantia (Abrangência, cobertura, etc.)
71;1091;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
72;2291;Não cumprimento do contrato/proposta
73;7071;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
75;1569;Publicidade enganosa
79;3661;Serviço em desacordo com norma/lei
80;5081;Dano material/pessoal decorrente do serviço
81;5402;Cobrança indevida/abusiva
83;2118;Loteamento irregular
87;3848;Contrato - Clausula abusiva/em desacordo com a Legislação.
93;5405;Cobrança indevida/abusiva
94;7314;Defeito/Risco à saúde e segurança
95;6143;Não Entrega de Produto
96;1128;Cobrança indevida.
97;6925;Crédito Consignado
98;3225;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
99;1116;Cobrança indevida.
100;6938;Crédito Consignado
103;1089;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
104;1090;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
105;5015;Serviço não concluído /Fornecimento parcial
110;6652;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
111;5763;Contrato - Rescisão/alteração unilateral
112;2489;Produto com vício
116;5399;Cobrança indevida/abusiva
118;5747;Contrato - Rescisão/alteração unilateral
119;6082;Antecipação de Financiamento
120;1098;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
124;1134;Cobrança indevida.
125;3623;Vicio de qualidade (mal executado, inadequado, impróprio)
126;3678;Recusa injustificada em prestar serviço
127;3876;Não pagamento de indenização
128;3745;Cobrança indevida/abusiva
129;4045;Descumprimento de garantia pelo convênio medico (guia)
130;1191;Calculo de prestação/taxa de juros
131;2282;Duvidas sobre cobranças (taxas, etc.)
133;5057;Dano material/pessoal decorrente do serviço
135;5317;Desistência do serviço (artigo 49 - descumprimento)
136;2668;Não entrega/demora na entrega do produto
140;6745;Portabilidade numérica
141;5339;Garantia - Descumprimento, prazo
142;2532;Produto com vício
147;2525;Produto com vício
151;3500;Procedimento de cobrança violenta/difamatória
152;1125;Cobrança indevida.
160;2661;Não entrega/demora na entrega do produto
164;2614;Não entrega/demora na entrega do produto
165;1359;Reajuste de saldo de caixa/diferença de prestação
166;6722;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
167;3637;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
169;7493;Irregularidade na rotulagem (falta de dados, dados ilegíveis, outros)
171;3645;Serviço não concluído /Fornecimento parcial
174;6723;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
177;4290;Danos pessoais ao consumidor
182;3356;Produto causou danos materiais
183;3635;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
185;2620;Não entrega/demora na entrega do produto
187;1169;Calculo de prestação/taxa de juros
189;1120;Cobrança indevida.
190;1982;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
191;2628;Não entrega/demora na entrega do produto
193;2787;Publicidade enganosa
196;4988;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
199;6105;Antecipação de Financiamento
205;2546;Produto com vício
206;1863;Discordância quanto as avarias
207;1195;Calculo de antecipação de prestação
211;2647;Não entrega/demora na entrega do produto
212;1834;Não pagamento de indenização (seguros em geral)
214;2339;Garantia (Abrangência, cobertura, etc.)
215;4495;Falta de assistência técnica/garantia
216;2617;Não entrega/demora na entrega do produto
217;1115;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
219;2159;Não execução de obras de infra-estrutura e benfeitorias
225;3217;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
231;2629;Não entrega/demora na entrega do produto
232;6667;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
233;3924;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
234;5764;Contrato - Rescisão/alteração unilateral
235;7144;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
236;5410;Cobrança abusiva mediante constrangimento, ameaça.
237;2588;Produto entregue diferente do pedido
240;2535;Produto com vício
241;3344;Produto causou danos materiais
242;2016;Não pagamento de indenização
244;4937;Vicio de qualidade (mal executado, inadequado, impróprio)
245;5883;Não pagamento de indenização
249;3650;Dano material/pessoal decorrente do serviço
255;1722;Consumidor negativado indevidamente nos serviços de proteção ao credito
258;7074;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
259;2970;Demora na montagem/montagem incompleta/incorreta
261;5390;Cobrança indevida/abusiva
262;3646;Serviço não concluído /Fornecimento parcial
267;6735;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
270;3844;Contrato - Rescisão/alteração unilateral
271;3227;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
272;3634;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
278;4919;Vicio de qualidade (mal executado, inadequado, impróprio)
284;3621;Vicio de qualidade (mal executado, inadequado, impróprio)
286;5738;Contrato - Rescisão/alteração unilateral
287;3216;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
288;1959;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
289;3841;Contrato - Rescisão/alteração unilateral
291;4952;Vicio de qualidade (mal executado, inadequado, impróprio)
297;4974;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
317;7245;Defeito/Risco à saúde e segurança
318;2493;Produto com vício
320;7226;Defeito/Risco à saúde e segurança
324;2754;Publicidade enganosa
325;4422;Preço do produto/serviço
326;5123;Serviço em desacordo com norma/lei
327;1168;Calculo de prestação/taxa de juros
328;7223;Defeito/Risco à saúde e segurança
329;2290;Não cumprimento do contrato/proposta
332;2269;Cobrança de multa acima do permitido pela legislação (atraso no pag. de prestação/aluguel/condomínio)
333;2765;Publicidade enganosa
335;5571;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
336;6757;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
340;3222;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
342;7152;Tarifa de Cartão de Crédito – Cobrança Indevida (anuidade, 2ª via, etc.)
343;1142;Cobrança indevida.
344;2491;Produto com vício
345;1851;Discordância na indenização (seguros em geral)
346;3735;Garantia - Descumprimento, prazo
347;2038;Não pagamento de indenização
350;1932;Falha bancaria (cheques, ordem de pagamento, etc.)
351;6888;Fila em Banco
354;2659;Não entrega/demora na entrega do produto
359;5673;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
360;1114;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
361;1072;Envio de produto ou serviço sem previa solicitação
362;1141;Cobrança indevida.
367;2875;Venda enganosa
369;2672;Não entrega/demora na entrega do produto
372;5751;Contrato - Rescisão/alteração unilateral
373;5141;Recusa injustificada em prestar serviço
374;1986;Cobrança de honorários advocaticios, despesa de cobrança
379;5041;Serviço não concluído /Fornecimento parcial
380;2676;Não entrega/demora na entrega do produto
