,Date,AveragePrice,Total Volume,year,region,type
0,2015-12-27,1.33,64236.62,2015,Albany,conventional
1,2015-12-20,1.35,54876.98,2015,Albany,conventional
2,2015-12-13,0.93,118220.22,2015,Albany,conventional
3,2015-12-06,1.08,78992.15,2015,Albany,conventional
4,2015-11-29,1.28,51039.6,2015,Albany,conventional
5,2015-11-22,1.26,55979.78,2015,Albany,conventional
6,2015-11-15,0.99,83453.76,2015,Albany,conventional
7,2015-11-08,0.98,109428.33,2015,Albany,conventional
8,2015-11-01,1.02,99811.42,2015,Albany,conventional
9,2015-10-25,1.07,74338.76,2015,Albany,conventional
10,2015-10-18,1.12,84843.44,2015,Albany,conventional
11,2015-10-11,1.28,64489.17,2015,Albany,conventional
12,2015-10-04,1.31,61007.1,2015,Albany,conventional
13,2015-09-27,0.99,106803.39,2015,Albany,conventional
14,2015-09-20,1.33,69759.01,2015,Albany,conventional
15,2015-09-13,1.28,76111.27,2015,Albany,conventional
16,2015-09-06,1.11,99172.96,2015,Albany,conventional
17,2015-08-30,1.07,105693.84,2015,Albany,conventional
18,2015-08-23,1.34,79992.09,2015,Albany,conventional
19,2015-08-16,1.33,80043.78,2015,Albany,conventional
20,2015-08-09,1.12,111140.93,2015,Albany,conventional
21,2015-08-02,1.45,75133.1,2015,Albany,conventional
22,2015-07-26,1.11,106757.1,2015,Albany,conventional
23,2015-07-19,1.26,96617.0,2015,Albany,conventional
24,2015-07-12,1.05,124055.31,2015,Albany,conventional
25,2015-07-05,1.35,109252.12,2015,Albany,conventional
26,2015-06-28,1.37,89534.81,2015,Albany,conventional
27,2015-06-21,1.27,104849.39,2015,Albany,conventional
28,2015-06-14,1.32,89631.3,2015,Albany,conventional
29,2015-06-07,1.07,122743.06,2015,Albany,conventional
30,2015-05-31,1.23,95123.62,2015,Albany,conventional
31,2015-05-24,1.19,101470.91,2015,Albany,conventional
32,2015-05-17,1.43,109857.47,2015,Albany,conventional
33,2015-05-10,1.26,120427.91,2015,Albany,conventional
34,2015-05-03,1.2,59197.67,2015,Albany,conventional
35,2015-04-26,1.22,49585.46,2015,Albany,conventional
36,2015-04-19,1.19,49064.73,2015,Albany,conventional
37,2015-04-12,1.13,48364.29,2015,Albany,conventional
38,2015-04-05,1.16,47362.13,2015,Albany,conventional
39,2015-03-29,1.02,67799.08,2015,Albany,conventional
40,2015-03-22,1.12,46346.85,2015,Albany,conventional
41,2015-03-15,1.11,43045.79,2015,Albany,conventional
42,2015-03-08,1.07,40507.36,2015,Albany,conventional
43,2015-03-01,0.99,55595.74,2015,Albany,conventional
44,2015-02-22,1.07,45675.05,2015,Albany,conventional
45,2015-02-15,1.06,41567.62,2015,Albany,conventional
46,2015-02-08,0.99,51253.97,2015,Albany,conventional
